ti,ab,py
a   the influence of proeating disorder websites on body image and eating pathology,"previous  has indicated that exposure to proeating disorder websites might increase eating pathology; , the magnitude of this  is unknown. this  aimed to conduct a   and  to  the  of exposure to proeating disorder websites on body image and eating pathology.   the relationship between exposure to proeating disorder websites and eating pathologyrelated  were included. the   identified nine . findings revealed significant  sizes of exposure to proeating disorder websites on body image dissatisfaction (five ), d = .41, p = .003; dieting (six ), d = .68, p < .001, and negative affect (three ), d = 1.00, p < .001. no  emerged for bulimic symptoms (four ), d = .22, p = .73. findings confirmed the  of proeating disorder websites on body image and eating pathology, highlighting the need for enforceable regulation of these websites.",2016
2013 syr accepted poster ,"syr 2013 accepted poster : 1. benefits of yoga as a wellness practice in a veterans affairs (va) health care setting: if you build it, will they come? 2. yoga psychotherapy  with urban youth exposed to trauma. 3. embodied health: the  of a mindbody course for medical . 4. interoceptive awareness and vegetable intake after a yoga and stress management . 5. yoga reduces performance anxiety in adolescent musicians. 6. designing and implementing a therapeutic yoga program for older women with knee osteoarthritis. 7. yoga and life skills eating disorder prevention among 5th grade females: a  . 8. a ,   comparing the impact of yoga and physical education on the emotional and behavioral functioning of middle school children. 9. feasibility of a multisite, community    of yoga and wellness education for women with breast cancer undergoing chemotherapy. 10. a delphi  for the development of protocol guidelines for yoga  in mental health. 11. impact investigation of breathwalk daily practice: canadaindia collaborative . 12. yoga improves distress, fatigue, and insomnia in older veteran cancer survivors:  of a pilot . 13. assessment of kundalini mantra and meditation as an adjunctive  with mental health consumers. 14. kundalini yoga therapy versus cognitive behavior therapy for generalized anxiety disorder and cooccurring mood disorder. 15.  differences in women versus men initiating yoga programs to aid smoking cessation: quitting in balance versus quitstrong. 16. pranayam practice: impact on focus and everyday life of work and relationships. 17.  in a tailored yoga program is associated with improved physical health in persons with arthritis. 18.  of yoga on blood pressure:   and . 19. a quasiexperimental  of a yoga   to reduce stress and promote health and wellbeing among middle school educators. 20. a   of yoga  for objective and subjective balance measures. 21. disparities in yoga use: a multivariate  of 2007 national health  survey . 22. implementing yoga therapy adapted for older veterans who are cancer survivors. 23. ,   of yoga for women with major depressive disorder: decreased ruminations as potential mechanism for  on depression? 24. yoga beyond the metropolis: a yoga telehealth program for veterans. 25. yoga practice frequency, relationship maintenance behaviors, and the potential mediating role of relationally interdependent cognition. 26.  of medical yoga in quality of life, blood pressure, and heart rate in  with paroxysmal a fibrillation. 27. yoga during school may promote emotion regulation c in adolescents: a  ,  . 28. integrated yoga therapy in a single session as a stress management technique in comparison with other techniques. 29.  of a classroom yoga  on stress and attention in second and third grade . 30. improving memory, attention, and executive function in older adults with yoga therapy. 31. reasons for starting and continuing yoga. 32. yoga and stress management may buffer against sexual risktaking behavior increases in college freshmen. 33. whole ayurveda and yoga therapy for obesity:  of a pilot . 34. womens phenomenological experiences of exercise, breathing, and the body during yoga for smoking cessation . 35. mindfulness as a tool for trauma recovery:  of a genderresponsive traumainformed integrative mindfulness program for female inmates. 36. yoga after stroke leads to multiple physical improvements. 37. teleyoga in  with chronic obstructive pulmonary disease and heart failure: a mixed  of feasibility, acceptability, and safety. 38.  of an ashtanga yoga health and wellness curriculum on physical and emotional wellbeing, engagement toward school, and academic performance of k6 . 39. yoga as a facilitator for  following an 8week yoga for individuals with chronic stroke. 40. standardization of design and  of yoga  for musculoskeletal : a delphi approach. 41. creating s.p.a.c.e. through yoga: africa yoga project teachers promote personal transformation, peaceful communities, and  service.",2013
a    of mobile health behavior change  ,"context: mobile health helps providers offer accessible, affordable, tailored behavior change . ,  assessing mobile health  may feature  shortcomings and poor . this  aims to  the characteristics, , and   of  evaluating mobile health behavior change . evidence acquisition: this was a    of  assessing mobile health behavior change   in  from january 1, 2014 to january 1, 2018, in journals with the upper half of impact factors (clarivate ). three  independently extracted sample characteristics. primary  were classified as  or not using definitions from the . any non–  were then reclassified by a panel of 3 .   was assessed by the mobile health evidence  and assessment check.  were  in december 2018. evidence synthesis: most of the 231 included  assessed text messaging (51%) or smartphone app (28%)  aiming to change nutrition and physical activity (36%) or  adherence (25%). only 8% of  had a  primary , followup of ≥6 months, and intenttotreat . most primary  were behavioral measures (60%). followup was <3 months in 29% of . regarding , 12 of the 16 check items were  in less than half of  (e.g., usability/content , 32%;  security, 13%). :  of  assessing mobile health behavior change  lack information that would be useful for providers, including  of longterm  impact on  primary  and information needed for  replicability.",2019
a clinical  to  the feasibility of a telehealth psychoeducational  for persons with schizophrenia and their families:  and 3month findings.,"objective: to evaluate the feasibility of a telehealth psychoeducation  for persons with schizophrenia and their family members.  design:   . : 30 persons with schizophrenia and 21 family members or other informal support persons. : web psychoeducation program that provided online  therapy and education. main  measures: measures for persons with schizophrenia included perceived stress and perceived social support; for family members, they included diseaserelated distress and perceived social support. : at 3 months,  with schizophrenia in the    lower perceived stress (p = .04) and showed a trend for a higher perceived level of social support (p = .06). : the findings demonstrate the feasibility and impact of providing telehealth psychosocial , including online therapy , to persons with schizophrenia and their families.",2005
a  of internet computer psychological  for anxiety disorders,": internet computer psychological  have enjoyed rapid growth. today, there are a number of them available for many mental disorders and psychological problems. internet psychological  for anxiety disorders and phobias are amongst the most frequently observed.   with these resources are promising, but inconclusive. : this   11   and  about the efficacy of internet psychological  for anxiety disorders, including  and clinical  covering the majority of anxiety disorders and phobias, usually with adult  samples. : in general, these  agree on the efficacy of internet psychological  as compared with non  (with large  sizes), finding similar efficacy compared with facetoface therapies. internet psychological  are further improved when combined with some type of therapist contact. on the negative side, some   highlight high attrition rates of internet psychological . discussion: these findings remain inconclusive and more refined  (involving  samples, therapy comparisons, type of therapist contact, etc.) are needed, in order to establish the scope and limits of internet psychological  for anxiety disorders. (  record (c) 2016 , all rights reserved)",2016
‘help for trauma from the app stores?’ a   and standardised rating of apps for posttraumatic stress disorder (ptsd),": mobile health applications (apps) are considered to complement traditional psychological  for posttraumatic stress disorder (ptsd). , the use for clinical practice and quality of available apps is unknown. objective: to assess the general characteristics, therapeutic , content, and quality of apps for ptsd and to  their concordance with established ptsd  and selfhelp . : a web crawler   for apps targeting ptsd in the british  play and apple itunes stores. two independent  rated the apps using the mobile app rating scale (mars). the content of highquality apps was checked for concordance with psychological  and selfhelp  extracted from current  on ptsd . : out of 555 identified apps, 69 met the inclusion criteria. the overall app quality  on the mars was medium (m = 3.36, sd = 0.65). most apps (50.7%) were  on cognitive behavioural therapy and offered a wide range of content, including established psychological ptsd   such as processing of traumarelated emotions and beliefs, relaxation exercises, and psychoeducation. notably,  protection and privacy standards were poor in most apps and only one app (1.4%) was scientifically evaluated in a   . : highquality apps  on established psychological  techniques for ptsd are available in commercial app stores. , users are confronted with great difficulties in identifying useful highquality apps and most apps lack an evidence. commercial distribution channels do not exploit the potential of apps to complement the psychological  of ptsd. (  record (c) 2020 , all rights reserved)",2020
a narrative  of psychological cannabis use  with and without pharmaceutical adjunct,": as policy responses to cannabis use and availability change internationally, levels of cannabis use disorder rise and  seeking increases. diversion to cannabis  from the criminal justice  also increases demand in the . at a time of developing   in response to this demand, an understanding of the evidence is increasingly important. objective: to provide a narrative  of the developing evidence for psychosocial  for cannabis use disorder, including adjunctive cannabinoid agonist therapy. : two  independently conducted a   for   prior to february 2016, located through online  of four electronic  ( scholar, cinahl, medline, and ). only    describing (s) for cannabis use or cannabis use disorder with a measure of either cannabis use frequency or cannabis use disorder severity were included. nonenglish ,  , posters, opinion pieces, letters or editorials, case  (n<10) and   were excluded. : the cannabis  most likely to be  for adolescents and adults is  on the combination of motivational enhancement therapy (met) and cognitive behavioural therapy (cbt) with the inclusion of contingency management and agonist replacement therapy showing promise. : a more concrete and robust evidence  is required for these . replication of   is needed using standardised ,  and measures to minimise conflicting findings, inconsistent followup periods and relatively poor   over time.(243 words).",2016
a   of learning collaboratives in mental health care: used but un,"objective: policy makers have increasingly turned to learning collaboratives (lcs) as a strategy for improving usual care through the dissemination of evidence practices. the  of this  was to characterize the state of the evidence for use of lcs in mental health care. : a   of major academic  for peer  on lcs in mental health care generated 421 unique  across a range of disciplines; 28 mental health  were selected for fulltext , and 20  representing 16 distinct  met criteria for final inclusion.  were coded to identify the lc components , the focus of the , and key findings. : most of the  included assessments of provider or  variables at  and postlc. only one  included a comparison . lc targets ranged widely, from use of a depression  tool to implementation of evidence . fourteen crosscutting lc components (for example, inperson learning sessions, phone meetings,  , leadership involvement, and training in quality improvement ) were identified. the lcs   including, on average, seven components, most commonly inperson learning sessions, plando cycles, multidisciplinary quality improvement teams, and  collection for quality improvement. : lcs are being used widely in mental health care, although there is minimal evidence of their  and unclear  in regard to specific components. rigorous observational and    on the impact of lcs on targeted provider and   are greatly needed.",2014
"25cnbome: preliminary  on pharmacology, psychoactive , and toxicity of a new potent and dangerous hallucinogenic drug",". the use of novel psychoactive substances (npss) has rapidly increased as well as their online availability. the aim of this  is to provide a comprehensive  of the nature and the risks associated with 25cnbome, which has recently appeared in the drug market. . a   of the scientific  and a qualitative assessment of online and media resources (e.g., enews, chatrooms, and enewsletters) in 10 languages were carried out. . 25cnbome is sold online as legal lsd or as  chemical with different designations such as ""boom,"" ""pandora,"" ""holland film,"" or ""nbomb."" it is a partial agonist of 5ht2a receptors. it is usually ingested orally/sublingually and, less commonly, nasally, through injection, vaginally, rectally, and smoked. its  include sublingual numbing, stimulation, ""body high,"" hallucinations, dissociation, and anxiety. 25cnbome presents high risk of overdoses; acute toxicity and fatalities have been . . 25cnbome consumption represents an emerging phenomenon with potential harmful . its use is increased by its online availability at low costs. health and other professionals should be informed about this new trend of substance use. © 2014 francesco saverio bersani et al.",2014
"psychological or educational ehealth  on depression, anxiety or stress following preterm birth: a  ","objective: to determine the efficacy and characteristics of psychological or educational ehealth  on reducing symptoms of mental illness in parents of preterm or low birthweight infants.: many parents suffer psychological disorders after preterm birth. computer or mobile application  are a promising alternative.: we  seven electronic  up to january 2020 and included  and quasi   assessing psychological or educational ehealth  in parents of infants born very preterm <32 weeks or with very low birthweight <1500g (primary question), or preterm <37 weeks or with low birthweight <2500g (secondary question). primary  were measures of depression, anxiety, acute stress disorder or posttraumatic stress disorder. secondary  included other indicators of mental health, quality of life and  characteristics. we had planned   in our protocol (crd42018105731).: of 9768 records, no   our primary . three  showed potential benefits for parental selfefficacy, discharge preparedness, parental satisfaction and family satisfaction with the neonatal intensive care unit.: we found scarce evidence on the efficacy of psychological or educational ehealth  on reducing mental illness in parents of preterm or low birthweight infants, highlighting the need for more . (  record (c) 2020 , all rights reserved)",2020
